2026-05-19 07:36:46 | INFO     | run                  | ======================================================================
2026-05-19 07:36:46 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-05-19 07:36:46 | INFO     | run                  | ======================================================================
2026-05-19 07:36:46 | INFO     | run                  | Execution Time: 2026-05-19 12:36:46 PKT
2026-05-19 07:36:46 | INFO     | run                  | Configuration:
2026-05-19 07:36:46 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-05-19 07:36:46 | INFO     | run                  |    - Data directory: data
2026-05-19 07:36:46 | INFO     | run                  |    - Log directory: logs
2026-05-19 07:36:46 | INFO     | run                  | ======================================================================
2026-05-19 07:36:46 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-05-19 07:36:46 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-05-19 07:36:49 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-05-19 07:36:50 | DEBUG    | fetch_data           | Response status: 200
2026-05-19 07:36:50 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-05-19 07:36:50 | DEBUG    | fetch_data           | Response size: 438211 bytes
2026-05-19 07:36:50 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-05-19 07:36:50 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-05-19 07:36:50 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-05-19 07:36:50 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-05-19 07:36:50 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-05-19 07:36:50 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-05-19 07:36:50 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-05-19 07:36:50 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-19 07:36:50 | DEBUG    | parse_html           | Table shape: (458, 11)
2026-05-19 07:36:50 | INFO     | parse_html           | ✅ HTML parsed successfully (458 rows)
2026-05-19 07:36:50 | INFO     | clean_data           | Cleaning data...
2026-05-19 07:36:50 | DEBUG    | clean_data           | Initial shape: (458, 11)
2026-05-19 07:36:50 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-19 07:36:50 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-05-19 07:36:50 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-05-19 07:36:50 | INFO     | clean_data           | ✅ Data cleaned (458 rows, 16 columns)
2026-05-19 07:36:50 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-05-19 07:36:50 | DEBUG    | get_file_path        | Generated file path: data/2026/05/2026-05-19.xlsx
2026-05-19 07:36:50 | INFO     | save_data            | Saving data to: data/2026/05/2026-05-19.xlsx
2026-05-19 07:36:50 | DEBUG    | save_data            | Writing to temporary file...
2026-05-19 07:36:50 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/05/tmpx0a027lx.xlsx
2026-05-19 07:36:50 | DEBUG    | save_data            | Temp file moved to final location
2026-05-19 07:36:50 | INFO     | save_data            | ✅ Data saved successfully (458 total rows, 39360 bytes)
2026-05-19 07:36:50 | INFO     | run                  | ======================================================================
2026-05-19 07:36:50 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-05-19 07:36:50 | INFO     | run                  |    ✅ Status: SUCCESS
2026-05-19 07:36:50 | INFO     | run                  |    - Rows processed: 458
2026-05-19 07:36:50 | INFO     | run                  |    - Unique symbols: 458
2026-05-19 07:36:50 | INFO     | run                  |    - Timestamp: 2026-05-19 12:36:46
2026-05-19 07:36:50 | INFO     | run                  |    - File: data/2026/05/2026-05-19.xlsx
2026-05-19 07:36:50 | INFO     | run                  | ======================================================================
2026-05-19 07:36:50 | DEBUG    | run                  | Sample data (first row):
2026-05-19 07:36:50 | DEBUG    | run                  | {'SYMBOL': 'ENGROH', 'SECTOR': 813, 'LDCP': 256.02, 'OPEN': 258.01, 'HIGH': 264.4, 'LOW': 250.26, 'CURRENT': 255.5, 'CHANGE': -0.52, 'CHANGE (%)': nan, 'VOLUME': 19605684, 'YEAR': 2026, 'MONTH': 5, 'DAY': 19, 'HOUR': 12, 'MINUTE': 36, 'DATETIME': '2026-05-19 12:36'}
2026-05-19 07:41:51 | INFO     | run                  | ======================================================================
2026-05-19 07:41:51 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-05-19 07:41:51 | INFO     | run                  | ======================================================================
2026-05-19 07:41:51 | INFO     | run                  | Execution Time: 2026-05-19 12:41:51 PKT
2026-05-19 07:41:51 | INFO     | run                  | Configuration:
2026-05-19 07:41:51 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-05-19 07:41:51 | INFO     | run                  |    - Data directory: data
2026-05-19 07:41:51 | INFO     | run                  |    - Log directory: logs
2026-05-19 07:41:51 | INFO     | run                  | ======================================================================
2026-05-19 07:41:51 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-05-19 07:41:51 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-05-19 07:41:54 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-05-19 07:41:55 | DEBUG    | fetch_data           | Response status: 200
2026-05-19 07:41:55 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-05-19 07:41:55 | DEBUG    | fetch_data           | Response size: 438150 bytes
2026-05-19 07:41:55 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-05-19 07:41:55 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-05-19 07:41:55 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-05-19 07:41:55 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-05-19 07:41:55 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-05-19 07:41:55 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-05-19 07:41:55 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-05-19 07:41:55 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-19 07:41:55 | DEBUG    | parse_html           | Table shape: (458, 11)
2026-05-19 07:41:55 | INFO     | parse_html           | ✅ HTML parsed successfully (458 rows)
2026-05-19 07:41:55 | INFO     | clean_data           | Cleaning data...
2026-05-19 07:41:55 | DEBUG    | clean_data           | Initial shape: (458, 11)
2026-05-19 07:41:55 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-19 07:41:55 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-05-19 07:41:55 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-05-19 07:41:55 | INFO     | clean_data           | ✅ Data cleaned (458 rows, 16 columns)
2026-05-19 07:41:55 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-05-19 07:41:55 | DEBUG    | get_file_path        | Generated file path: data/2026/05/2026-05-19.xlsx
2026-05-19 07:41:55 | INFO     | save_data            | Saving data to: data/2026/05/2026-05-19.xlsx
2026-05-19 07:41:55 | DEBUG    | save_data            | Existing file found, merging data...
2026-05-19 07:41:55 | DEBUG    | save_data            | Loaded 458 existing rows
2026-05-19 07:41:55 | DEBUG    | save_data            | Combined to 916 rows
2026-05-19 07:41:55 | DEBUG    | save_data            | Writing to temporary file...
