2026-06-06 01:51:08 | INFO     | run                  | ======================================================================
2026-06-06 01:51:08 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-06-06 01:51:08 | INFO     | run                  | ======================================================================
2026-06-06 01:51:08 | INFO     | run                  | Execution Time: 2026-06-06 06:51:08 PKT
2026-06-06 01:51:08 | INFO     | run                  | Configuration:
2026-06-06 01:51:08 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-06-06 01:51:08 | INFO     | run                  |    - Data directory: data
2026-06-06 01:51:08 | INFO     | run                  |    - Log directory: logs
2026-06-06 01:51:08 | INFO     | run                  | ======================================================================
2026-06-06 01:51:08 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-06-06 01:51:08 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-06-06 01:51:12 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-06-06 01:51:14 | DEBUG    | fetch_data           | Response status: 200
2026-06-06 01:51:14 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-06-06 01:51:14 | DEBUG    | fetch_data           | Response size: 470397 bytes
2026-06-06 01:51:14 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-06-06 01:51:14 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-06-06 01:51:14 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-06-06 01:51:14 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-06-06 01:51:14 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-06-06 01:51:14 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-06-06 01:51:14 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-06-06 01:51:14 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-06 01:51:14 | DEBUG    | parse_html           | Table shape: (491, 11)
2026-06-06 01:51:14 | INFO     | parse_html           | ✅ HTML parsed successfully (491 rows)
2026-06-06 01:51:14 | INFO     | clean_data           | Cleaning data...
2026-06-06 01:51:14 | DEBUG    | clean_data           | Initial shape: (491, 11)
2026-06-06 01:51:14 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-06 01:51:14 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-06-06 01:51:14 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
